hhid,persid,dayType,main_journey_mode,journey_travel_time,journey_distance,journey_elapsed_time,journey_weight,homesubregion_ASGS,homeregion_ASGS,wasted_time
Y24H6136236,Y24H6136236P03,Weekday,vehicle passenger,15,4.06396,15.0,126.955903098,other,shepparton sa4,0.0
Y24H6136236,Y24H6136236P04,Weekday,vehicle passenger,25,14.19456,30.0,245.181699637,other,shepparton sa4,5.0
Y24H6140205,Y24H6140205P03,Weekday,public bus,20,4.36563,25.0,800.374178399,melb - inner,greater melbourne,5.0
Y24H6140205,Y24H6140205P04,Weekday,vehicle passenger,2,0.60152,2.0,808.509997257,melb - inner,greater melbourne,0.0
Y24H6140219,Y24H6140219P03,Weekday,vehicle passenger,2,0.52594,2.0,777.239165753,melb - inner,greater melbourne,0.0
Y24H6140219,Y24H6140219P04,Weekday,vehicle passenger,50,22.67876,80.0,777.239165753,melb - inner,greater melbourne,30.0
Y24H6140239,Y24H6140239P02,Weekday,train,45,19.82898,65.0,1289.425483922,melb - inner,greater melbourne,20.0
Y24H6140239,Y24H6140239P03,Weekday,vehicle passenger,30,13.67058,30.0,543.57024486,melb - inner,greater melbourne,0.0
Y24H6140302,Y24H6140302P03,Weekday,vehicle passenger,18,8.36184,18.0,844.176964886,melb - inner,greater melbourne,0.0
Y24H6140302,Y24H6140302P04,Weekday,vehicle passenger,4,1.61203,4.0,671.390370824,melb - inner,greater melbourne,0.0
Y24H6140302,Y24H6140302P05,Weekday,vehicle passenger,4,1.61203,4.0,451.075837169,melb - inner,greater melbourne,0.0
Y24H6140302,Y24H6140302P06,Weekday,vehicle passenger,4,1.61203,4.0,805.209875993,melb - inner,greater melbourne,0.0
Y24H6140303,Y24H6140303P04,Weekday,tram,27,4.3569700000000005,30.0,498.9616735,melb - inner,greater melbourne,3.0
Y24H6140310,Y24H6140310P02,Weekday,walking,17,1.401,17.0,185.814526174,melb - inner,greater melbourne,0.0
Y24H6140310,Y24H6140310P03,Weekday,walking,15,1.401,15.0,594.181631867,melb - inner,greater melbourne,0.0
Y24H6140313,Y24H6140313P01,Weekend,vehicle driver,45,20.63675,45.0,586.226495094,melb - inner,greater melbourne,0.0
Y24H6140329,Y24H6140329P03,Weekday,vehicle passenger,15,5.30046,15.0,588.365506642,melb - inner,greater melbourne,0.0
Y24H6140329,Y24H6140329P04,Weekday,vehicle passenger,15,5.30046,15.0,691.339218456,melb - inner,greater melbourne,0.0
Y24H6140330,Y24H6140330P03,Weekday,walking,4,0.25241,4.0,490.918043829,melb - inner,greater melbourne,0.0
Y24H6140405,Y24H6140405P03,Weekday,walking,7,0.18391,7.0,344.36451474,melb - inner,greater melbourne,0.0
Y24H6140415,Y24H6140415P03,Weekday,walking,15,1.53582,15.0,361.68635198,melb - inner,greater melbourne,0.0
Y24H6140440,Y24H6140440P02,Weekday,vehicle passenger,10,2.41123,10.0,1290.416406277,melb - inner,greater melbourne,0.0
Y24H6146122,Y24H6146122P03,Weekday,school bus,29,24.21955,30.0,209.266773168,other,shepparton sa4,1.0
Y24H6146122,Y24H6146122P04,Weekday,school bus,35,23.58592,35.0,209.762549694,other,shepparton sa4,0.0
Y24H6146137,Y24H6146137P03,Weekday,school bus,32,25.44717,45.0,113.544348428,other,shepparton sa4,13.0
Y24H6146140,Y24H6146140P04,Weekday,school bus,55,26.51671,60.0,94.057197545,other,shepparton sa4,5.0
Y24H6146204,Y24H6146204P03,Weekday,walking,10,0.86161,10.0,90.381841139,other,shepparton sa4,0.0
Y24H6146204,Y24H6146204P04,Weekday,walking,10,0.86161,10.0,174.610127,other,shepparton sa4,0.0
Y24H6146204,Y24H6146204P05,Weekday,vehicle passenger,1,0.86161,1.0,174.226818518,other,shepparton sa4,0.0
Y24H6150104,Y24H6150104P03,Weekday,vehicle passenger,10,2.99315,10.0,2368.922860567,melb - outer,greater melbourne,0.0
