dayType_journey,main_journey_mode,journey_travel_time,journey_distance,journey_elapsed_time,journey_weight,homesubregion_ASGS_journey,homeregion_ASGS_journey,wasted_time,num_stops,stop_category,group_travel_distance,journey_label,agegroup,sex,carlicence,mbikelicence,anywork,studying,mainact,persinc,anywfh,persinc_category,hhsize,dwelltype,owndwell,totalbikes,totalvehs,hhinc_group,hhinc_category
Weekday,vehicle driver,60,39.60458,60.0,1393.83663153,melb - middle,greater melbourne,0.0,0,0 stop,20-40,1,25->29,Female,Full Licence,0,1,No Study,Full-time Work,300,No,low,5,Separate House,Fully Owned,5,4,4500,high
Weekday,vehicle passenger,35,13.8802,35.0,2364.889079331,melb - middle,greater melbourne,0.0,0,0 stop,10-20,1,20->24,Male,No Car Licence,0,1,No Study,Full-time Work,500,No,low,5,Separate House,Fully Owned,5,4,4500,high
Weekday,vehicle driver,83,35.70621,85.0,582.490959729,melb - middle,greater melbourne,2.0,1,1 stop,20-40,1,45->49,Male,Full Licence,0,1,No Study,Full-time Work,650,No,medium,3,Separate House,Fully Owned,0,2,1500,low
Weekend,vehicle passenger,5,2.60045,5.0,1213.573257803,melb - middle,greater melbourne,0.0,0,0 stop,0-10,1,15->19,Female,Learners Permit,0,1,Secondary,Secondary School,150,No,low,5,Separate House,Being Purchased,8,2,4000,high
Weekend,public bus,22,2.94316,30.0,1213.573257803,melb - middle,greater melbourne,8.0,2,2 stops,0-10,1,15->19,Female,Learners Permit,0,1,Secondary,Secondary School,150,No,low,5,Separate House,Being Purchased,8,2,4000,high
Weekday,vehicle driver,17,7.73723,17.0,560.101828454,melb - middle,greater melbourne,0.0,0,0 stop,0-10,1,40->44,Male,Full Licence,1,1,No Study,Full-time Work,1500,No,medium,4,"Unit, Flat or Apartment",Being Rented,0,1,1500,low
Weekday,vehicle driver,35,24.80787,35.0,1861.535584934,melb - middle,greater melbourne,0.0,0,0 stop,20-40,1,55->59,Male,Full Licence,0,1,No Study,Full-time Work,3000,No,high,4,Terrace or Townhouse,Fully Owned,1,3,8000,high
Weekday,vehicle driver,30,15.49056,30.0,435.600356185,melb - outer,greater melbourne,0.0,0,0 stop,10-20,1,30->34,Male,Full Licence,0,1,No Study,Full-time Work,2000,No,high,4,Separate House,Being Rented,0,2,4000,high
Weekday,vehicle driver,60,39.04567,60.0,435.600356185,melb - outer,greater melbourne,0.0,1,1 stop,20-40,1,30->34,Male,Full Licence,0,1,No Study,Full-time Work,1250,No,medium,4,Separate House,Being Rented,0,2,4000,high
Weekday,vehicle driver,17,19.93495,17.0,309.990096313,melb - outer,greater melbourne,0.0,0,0 stop,10-20,1,40->44,Male,Green Probationary Licence,0,1,No Study,Casual Work,1500,No,medium,5,"Unit, Flat or Apartment",Being Rented,0,2,1500,low
Weekday,vehicle driver,11,5.64398,11.0,634.455478952,melb - outer,greater melbourne,0.0,0,0 stop,0-10,1,20->24,Female,Green Probationary Licence,0,1,No Study,Casual Work,800,No,medium,5,"Unit, Flat or Apartment",Being Rented,0,2,1500,low
Weekday,vehicle driver,55,32.22561,55.0,652.772223378,melb - outer,greater melbourne,0.0,0,0 stop,20-40,1,45->49,Female,Full Licence,0,1,No Study,Part-time Work,1000,No,medium,3,"Unit, Flat or Apartment",Being Purchased,Missing/Refused,3,1000,low
Weekday,vehicle driver,14,8.44761,14.0,652.772223378,melb - outer,greater melbourne,0.0,0,0 stop,0-10,1,45->49,Female,Full Licence,0,1,No Study,Part-time Work,1000,No,medium,3,"Unit, Flat or Apartment",Being Purchased,Missing/Refused,3,1000,low
Weekday,vehicle driver,37,28.92583,37.0,593.33097035,melb - outer,greater melbourne,0.0,0,0 stop,20-40,1,45->49,Male,Full Licence,0,1,No Study,Full-time Work,1250,No,medium,7,Separate House,Being Rented,0,2,2000,medium
Weekday,vehicle driver,43,26.37341,46.0,492.179102597,melb - outer,greater melbourne,3.0,2,2 stops,20-40,1,40->44,Male,Full Licence,0,1,No Study,Full-time Work,1500,No,medium,3,Separate House,Being Purchased,1,2,2500,medium
Weekday,vehicle driver,60,31.27082,75.0,412.385160855,melb - outer,greater melbourne,15.0,1,1 stop,20-40,1,35->39,Male,Full Licence,0,1,No Study,Casual Work,300,No,low,6,Separate House,Being Purchased,3,3,300,low
Weekday,vehicle driver,15,4.08403,15.0,1380.773038408,melb - outer,greater melbourne,0.0,0,0 stop,0-10,1,50->54,Male,Full Licence,0,1,No Study,Full-time Work,800,No,medium,5,Separate House,Being Rented,3,4,3000,medium
Weekday,vehicle driver,19,13.24665,19.0,1408.518434236,melb - outer,greater melbourne,0.0,0,0 stop,10-20,1,50->54,Female,Full Licence,0,1,No Study,Casual Work,800,No,medium,5,Separate House,Being Rented,3,4,3000,medium
Weekday,vehicle passenger,23,17.69918,26.0,821.004997676,melb - outer,greater melbourne,3.0,1,1 stop,10-20,1,15->19,Female,Learners Permit,0,1,Full-time TAFE/Uni,Full-time TAFE/Uni,650,No,medium,5,Separate House,Being Rented,3,4,3000,medium
Weekday,vehicle driver,20,18.8833,20.0,654.960438794,melb - outer,greater melbourne,0.0,0,0 stop,10-20,1,30->34,Male,Full Licence,0,1,No Study,Full-time Work,650,No,medium,3,Separate House,Fully Owned,0,2,1000,low
Weekend,vehicle driver,84,39.10472,84.0,268.44579161,melb - outer,greater melbourne,0.0,0,0 stop,20-40,1,40->44,Male,Full Licence,0,1,Part-time TAFE/Uni,Full-time Work,2000,Yes,high,1,Separate House,Being Purchased,1,2,2500,medium
Weekday,train,62,33.8813,81.0,833.300029383,melb - outer,greater melbourne,19.0,4,3+ stops,20-40,1,35->39,Female,Full Licence,0,1,No Study,Full-time Work,1250,Yes,medium,3,Separate House,Being Purchased,1,1,4500,high
Weekday,vehicle driver,63,27.96149,96.0,233.724176394,melb - outer,greater melbourne,33.0,2,2 stops,20-40,1,35->39,Male,Full Licence,0,1,Part-time TAFE/Uni,Full-time Work,1250,No,medium,5,Separate House,Being Rented,0,2,1250,low
Weekday,vehicle driver,27,26.72967,27.0,785.725277756,melb - outer,greater melbourne,0.0,0,0 stop,20-40,1,30->34,Male,Full Licence,0,1,No Study,Full-time Work,1000,No,medium,2,Separate House,Fully Owned,0,1,3500,medium
Weekday,vehicle driver,70,40.40662,70.0,676.477788352,melb - outer,greater melbourne,0.0,0,0 stop,40+,1,35->39,Male,Full Licence,1,1,No Study,Full-time Work,1250,No,medium,5,Separate House,Being Rented,4,2,300,low
Weekday,vehicle driver,34,34.1558,34.0,454.833799575,melb - outer,greater melbourne,0.0,0,0 stop,20-40,1,35->39,Male,Full Licence,0,1,No Study,Full-time Work,1250,Yes,medium,2,Separate House,Being Purchased,1,1,2500,medium
Weekend,vehicle driver,30,22.87616,30.0,663.090476682,melb - outer,greater melbourne,0.0,0,0 stop,20-40,1,35->39,Male,Full Licence,0,1,No Study,Full-time Work,1750,No,high,2,Separate House,Being Purchased,2,1,2000,medium
Weekend,train,38,25.721319999999995,51.0,525.810949524,melb - outer,greater melbourne,13.0,4,3+ stops,20-40,1,30->34,Female,No Car Licence,0,1,Full-time TAFE/Uni,Full-time TAFE/Uni,300,No,low,2,Separate House,Being Purchased,2,1,2000,medium
Weekday,vehicle driver,32,21.97216,32.0,273.048878576,melb - outer,greater melbourne,0.0,0,0 stop,20-40,1,60->64,Female,Full Licence,0,1,No Study,Full-time Work,1750,No,high,1,"Unit, Flat or Apartment",Fully Owned,0,1,1750,medium
Weekday,walking,10,0.24657,10.0,336.361571273,melb - outer,greater melbourne,0.0,0,0 stop,0-10,1,75->79,Male,Full Licence,0,1,No Study,Full-time Work,650,No,medium,1,Separate House,Fully Owned,0,1,650,low
Weekday,walking,10,0.24657,10.0,336.361571273,melb - outer,greater melbourne,0.0,0,0 stop,0-10,1,75->79,Male,Full Licence,0,1,No Study,Full-time Work,650,No,medium,1,Separate House,Fully Owned,0,1,650,low
Weekday,vehicle driver,24,16.5459,61.0,241.052978536,melb - outer,greater melbourne,37.0,1,1 stop,10-20,1,50->54,Female,Full Licence,0,1,No Study,Full-time Work,1500,Yes,medium,3,Separate House,Being Purchased,3,3,3000,medium
Weekday,vehicle driver,20,16.49247,20.0,403.977008152,melb - outer,greater melbourne,0.0,0,0 stop,10-20,1,45->49,Male,Full Licence,0,1,No Study,Full-time Work,1500,No,medium,3,Separate House,Being Purchased,3,3,3000,medium
Weekday,vehicle driver,50,44.50977,50.0,430.502795256,melb - outer,greater melbourne,0.0,0,0 stop,40+,1,60->64,Male,Full Licence,0,1,No Study,Full-time Work,1500,No,medium,2,Separate House,Fully Owned,1,2,2000,medium
Weekday,vehicle driver,30,17.33654,30.0,427.32938013,melb - outer,greater melbourne,0.0,0,0 stop,10-20,1,60->64,Female,Full Licence,0,1,No Study,Full-time Work,500,No,low,2,Separate House,Fully Owned,1,2,2000,medium
Weekday,vehicle driver,30,15.74216,30.0,685.315309558,melb - outer,greater melbourne,0.0,0,0 stop,10-20,1,30->34,Male,Full Licence,0,1,No Study,Full-time Work,1500,No,medium,2,Separate House,Being Purchased,2,2,5000,high
Weekday,vehicle driver,30,16.63501,30.0,680.263565427,melb - outer,greater melbourne,0.0,0,0 stop,10-20,1,30->34,Female,Full Licence,0,1,No Study,Full-time Work,3000,Yes,high,2,Separate House,Being Purchased,2,2,5000,high
Weekday,vehicle driver,25,18.21194,25.0,224.064972747,melb - outer,greater melbourne,0.0,0,0 stop,10-20,1,55->59,Male,Full Licence,0,1,No Study,Full-time Work,3000,No,high,2,Separate House,Fully Owned,2,2,4500,high
Weekday,vehicle driver,20,10.3074,30.0,905.512495177,melb - middle,greater melbourne,10.0,1,1 stop,10-20,1,45->49,Male,Full Licence,0,1,No Study,Full-time Work,2000,No,high,2,Terrace or Townhouse,Being Rented,Missing/Refused,2,3500,medium
Weekday,vehicle driver,35,15.92315,35.0,771.912267748,melb - middle,greater melbourne,0.0,0,0 stop,10-20,1,45->49,Female,Full Licence,0,1,Part-time TAFE/Uni,Full-time Work,1000,No,medium,2,Terrace or Townhouse,Being Rented,Missing/Refused,2,3500,medium
