tripid,hhid,persid,tripno,trippoststratweight,transport_mode,cumdist,linkmode,homesubregion_ASGS,homeregion_ASGS
Y24H6020424P01T02,Y24H6020424,Y24H6020424P01,2,268.568990669,Public,5.03182,Public Bus,MELB - Middle,Greater Melbourne
Y24H6020424P01T03,Y24H6020424,Y24H6020424P01,3,268.568990669,Active,1.04514,Walking,MELB - Middle,Greater Melbourne
Y24H6020424P02T01,Y24H6020424,Y24H6020424P02,1,188.32315014,Private,17.35746,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020424P02T02,Y24H6020424,Y24H6020424P02,2,188.32315014,Private,9.8876,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020424P02T03,Y24H6020424,Y24H6020424P02,3,188.32315014,Private,9.6215,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020424P02T04,Y24H6020424,Y24H6020424P02,4,188.32315014,Private,17.43941,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020424P02T05,Y24H6020424,Y24H6020424P02,5,188.32315014,Private,3.55639,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020424P02T06,Y24H6020424,Y24H6020424P02,6,188.32315014,Private,3.55649,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020424P02T07,Y24H6020424,Y24H6020424P02,7,188.32315014,Private,3.55644,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020424P02T08,Y24H6020424,Y24H6020424P02,8,188.32315014,Private,6.72447,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020424P02T09,Y24H6020424,Y24H6020424P02,9,188.32315014,Private,4.46424,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020424P03T01,Y24H6020424,Y24H6020424P03,1,235.658865935,Private,1.04514,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020424P03T02,Y24H6020424,Y24H6020424P03,2,235.658865935,Private,1.04514,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020424P03T03,Y24H6020424,Y24H6020424P03,3,235.658865935,Private,1.86266,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020424P03T04,Y24H6020424,Y24H6020424P03,4,235.658865935,Private,1.86266,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020424P04T01,Y24H6020424,Y24H6020424P04,1,256.310361564,Private,17.35746,Vehicle Passenger,MELB - Middle,Greater Melbourne
Y24H6020424P04T02,Y24H6020424,Y24H6020424P04,2,256.310361564,Active,0.27071,Walking,MELB - Middle,Greater Melbourne
Y24H6020424P04T03,Y24H6020424,Y24H6020424P04,3,256.310361564,Private,17.43941,Vehicle Passenger,MELB - Middle,Greater Melbourne
Y24H6020424P04T04,Y24H6020424,Y24H6020424P04,4,256.310361564,Private,3.55649,Vehicle Passenger,MELB - Middle,Greater Melbourne
Y24H6020424P04T05,Y24H6020424,Y24H6020424P04,5,256.310361564,Private,6.72421,Vehicle Passenger,MELB - Middle,Greater Melbourne
Y24H6020424P04T06,Y24H6020424,Y24H6020424P04,6,256.310361564,Private,4.46424,Vehicle Passenger,MELB - Middle,Greater Melbourne
Y24H6020424P05T01,Y24H6020424,Y24H6020424P05,1,246.144053263,Private,1.04514,Vehicle Passenger,MELB - Middle,Greater Melbourne
Y24H6020424P05T02,Y24H6020424,Y24H6020424P05,2,246.144053263,Active,1.04514,Walking,MELB - Middle,Greater Melbourne
Y24H6020424P05T03,Y24H6020424,Y24H6020424P05,3,246.144053263,Private,1.86266,Vehicle Passenger,MELB - Middle,Greater Melbourne
Y24H6020424P05T04,Y24H6020424,Y24H6020424P05,4,246.144053263,Private,1.00678,Vehicle Passenger,MELB - Middle,Greater Melbourne
Y24H6020424P05T05,Y24H6020424,Y24H6020424P05,5,246.144053263,Private,1.04514,Vehicle Passenger,MELB - Middle,Greater Melbourne
Y24H6020426P01T01,Y24H6020426,Y24H6020426P01,1,146.300679677,Private,19.58176,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020426P01T02,Y24H6020426,Y24H6020426P01,2,146.300679677,Private,34.93325,Taxi,MELB - Middle,Greater Melbourne
Y24H6020426P01T03,Y24H6020426,Y24H6020426P01,3,146.300679677,Private,34.93325,Taxi,MELB - Middle,Greater Melbourne
Y24H6020426P01T04,Y24H6020426,Y24H6020426P01,4,146.300679677,Private,12.51117,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020427P01T01,Y24H6020427,Y24H6020427P01,1,294.205695192,Private,27.13836,Vehicle Passenger,MELB - Middle,Greater Melbourne
Y24H6020427P01T02,Y24H6020427,Y24H6020427P01,2,294.205695192,Private,27.13836,Vehicle Passenger,MELB - Middle,Greater Melbourne
Y24H6020427P02T01,Y24H6020427,Y24H6020427P02,1,435.368770106,Private,27.13836,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020427P02T02,Y24H6020427,Y24H6020427P02,2,435.368770106,Private,27.13836,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020432P01T01,Y24H6020432,Y24H6020432P01,1,292.341002157,Active,1.18214,Bicycle,MELB - Middle,Greater Melbourne
Y24H6020432P01T02,Y24H6020432,Y24H6020432P01,2,292.341002157,Active,1.18214,Bicycle,MELB - Middle,Greater Melbourne
Y24H6020432P01T03,Y24H6020432,Y24H6020432P01,3,292.341002157,Private,6.72757,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020432P01T04,Y24H6020432,Y24H6020432P01,4,292.341002157,Private,6.72757,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020432P01T05,Y24H6020432,Y24H6020432P01,5,292.341002157,Active,1.18553,Bicycle,MELB - Middle,Greater Melbourne
Y24H6020432P01T06,Y24H6020432,Y24H6020432P01,6,292.341002157,Active,1.18553,Bicycle,MELB - Middle,Greater Melbourne
Y24H6020432P01T07,Y24H6020432,Y24H6020432P01,7,292.341002157,Private,1.86144,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020432P01T08,Y24H6020432,Y24H6020432P01,8,292.341002157,Private,1.86144,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020432P01T09,Y24H6020432,Y24H6020432P01,9,292.341002157,Private,6.42935,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020432P01T10,Y24H6020432,Y24H6020432P01,10,292.341002157,Private,6.42935,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020432P02T01,Y24H6020432,Y24H6020432P02,1,305.971757439,Active,1.75837,Bicycle,MELB - Middle,Greater Melbourne
Y24H6020432P02T02,Y24H6020432,Y24H6020432P02,2,305.971757439,Active,0.88358,Bicycle,MELB - Middle,Greater Melbourne
Y24H6020432P02T03,Y24H6020432,Y24H6020432P02,3,305.971757439,Active,0.29984,Walking,MELB - Middle,Greater Melbourne
Y24H6020432P02T04,Y24H6020432,Y24H6020432P02,4,305.971757439,Active,0.29984,Walking,MELB - Middle,Greater Melbourne
Y24H6020432P02T05,Y24H6020432,Y24H6020432P02,5,305.971757439,Active,2.58899,Bicycle,MELB - Middle,Greater Melbourne
Y24H6020432P02T06,Y24H6020432,Y24H6020432P02,6,305.971757439,Private,6.42086,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020432P02T07,Y24H6020432,Y24H6020432P02,7,305.971757439,Private,6.42086,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020432P03T01,Y24H6020432,Y24H6020432P03,1,222.337344263,Private,25.70028,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020432P03T02,Y24H6020432,Y24H6020432P03,2,222.337344263,Private,20.14516,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020432P03T03,Y24H6020432,Y24H6020432P03,3,222.337344263,Private,6.96887,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020432P04T01,Y24H6020432,Y24H6020432P04,1,293.009205163,Active,1.1896,Bicycle,MELB - Middle,Greater Melbourne
Y24H6020432P04T02,Y24H6020432,Y24H6020432P04,2,293.009205163,Active,1.1896,Bicycle,MELB - Middle,Greater Melbourne
Y24H6020432P04T03,Y24H6020432,Y24H6020432P04,3,293.009205163,Private,1.86144,Vehicle Passenger,MELB - Middle,Greater Melbourne
Y24H6020432P04T04,Y24H6020432,Y24H6020432P04,4,293.009205163,Private,1.86144,Vehicle Passenger,MELB - Middle,Greater Melbourne
Y24H6020432P05T01,Y24H6020432,Y24H6020432P05,1,293.652877633,Active,1.1896,Bicycle,MELB - Middle,Greater Melbourne
Y24H6020432P05T02,Y24H6020432,Y24H6020432P05,2,293.652877633,Active,1.1896,Bicycle,MELB - Middle,Greater Melbourne
Y24H6020432P05T03,Y24H6020432,Y24H6020432P05,3,293.652877633,Private,6.42086,Vehicle Passenger,MELB - Middle,Greater Melbourne
Y24H6020432P05T04,Y24H6020432,Y24H6020432P05,4,293.652877633,Private,6.42086,Vehicle Passenger,MELB - Middle,Greater Melbourne
Y24H6020433P01T01,Y24H6020433,Y24H6020433P01,1,391.426293649,Private,5.6311,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020433P01T02,Y24H6020433,Y24H6020433P01,2,391.426293649,Private,3.26499,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020433P01T03,Y24H6020433,Y24H6020433P01,3,391.426293649,Private,2.38055,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020433P01T04,Y24H6020433,Y24H6020433P01,4,391.426293649,Private,5.70445,Vehicle Passenger,MELB - Middle,Greater Melbourne
Y24H6020433P01T05,Y24H6020433,Y24H6020433P01,5,391.426293649,Private,0.28516,Vehicle Passenger,MELB - Middle,Greater Melbourne
Y24H6020433P01T06,Y24H6020433,Y24H6020433P01,6,391.426293649,Private,5.96942,Vehicle Passenger,MELB - Middle,Greater Melbourne
Y24H6020434P01T01,Y24H6020434,Y24H6020434P01,1,322.92659772,Active,1.4043,Walking,MELB - Middle,Greater Melbourne
Y24H6020434P01T02,Y24H6020434,Y24H6020434P01,2,322.92659772,Active,1.40416,Walking,MELB - Middle,Greater Melbourne
Y24H6020434P01T03,Y24H6020434,Y24H6020434P01,3,322.92659772,Private,5.21456,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020434P01T04,Y24H6020434,Y24H6020434P01,4,322.92659772,Private,8.39398,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020434P01T05,Y24H6020434,Y24H6020434P01,5,322.92659772,Private,0.81432,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020434P01T06,Y24H6020434,Y24H6020434P01,6,322.92659772,Private,1.43833,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020434P01T07,Y24H6020434,Y24H6020434P01,7,322.92659772,Private,11.57447,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020437P01T01,Y24H6020437,Y24H6020437P01,1,225.628326978,Active,0.3863,Walking,MELB - Middle,Greater Melbourne
Y24H6020437P01T02,Y24H6020437,Y24H6020437P01,2,225.628326978,Active,0.3863,Walking,MELB - Middle,Greater Melbourne
Y24H6020437P01T03,Y24H6020437,Y24H6020437P01,3,225.628326978,Private,2.65908,Vehicle Passenger,MELB - Middle,Greater Melbourne
Y24H6020437P01T04,Y24H6020437,Y24H6020437P01,4,225.628326978,Private,2.65908,Vehicle Passenger,MELB - Middle,Greater Melbourne
Y24H6020437P01T05,Y24H6020437,Y24H6020437P01,5,225.628326978,Private,0.96187,Vehicle Passenger,MELB - Middle,Greater Melbourne
Y24H6020437P01T06,Y24H6020437,Y24H6020437P01,6,225.628326978,Private,0.96187,Vehicle Passenger,MELB - Middle,Greater Melbourne
Y24H6020437P01T07,Y24H6020437,Y24H6020437P01,7,225.628326978,Private,2.48115,Vehicle Passenger,MELB - Middle,Greater Melbourne
Y24H6020437P01T08,Y24H6020437,Y24H6020437P01,8,225.628326978,Private,2.48115,Vehicle Passenger,MELB - Middle,Greater Melbourne
Y24H6020437P02T01,Y24H6020437,Y24H6020437P02,1,192.372332839,Active,0.3863,Walking,MELB - Middle,Greater Melbourne
Y24H6020437P02T02,Y24H6020437,Y24H6020437P02,2,192.372332839,Active,0.3863,Walking,MELB - Middle,Greater Melbourne
Y24H6020437P02T03,Y24H6020437,Y24H6020437P02,3,192.372332839,Private,2.65908,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020437P02T04,Y24H6020437,Y24H6020437P02,4,192.372332839,Private,2.65908,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020437P02T05,Y24H6020437,Y24H6020437P02,5,192.372332839,Private,0.96187,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020437P02T06,Y24H6020437,Y24H6020437P02,6,192.372332839,Private,0.96187,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020437P02T07,Y24H6020437,Y24H6020437P02,7,192.372332839,Private,2.48115,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020437P02T08,Y24H6020437,Y24H6020437P02,8,192.372332839,Private,2.48115,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020438P02T01,Y24H6020438,Y24H6020438P02,1,182.640725612,Private,0.83082,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020438P02T02,Y24H6020438,Y24H6020438P02,2,182.640725612,Private,0.83082,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020439P01T01,Y24H6020439,Y24H6020439P01,1,230.32888103,Private,6.77493,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020439P01T02,Y24H6020439,Y24H6020439P01,2,230.32888103,Private,6.77493,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020439P02T01,Y24H6020439,Y24H6020439P02,1,187.210618287,Private,11.74254,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020439P02T02,Y24H6020439,Y24H6020439P02,2,187.210618287,Private,11.74254,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020439P02T03,Y24H6020439,Y24H6020439P02,3,187.210618287,Private,4.92438,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020439P02T04,Y24H6020439,Y24H6020439P02,4,187.210618287,Private,14.53628,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020439P02T05,Y24H6020439,Y24H6020439P02,5,187.210618287,Private,10.89711,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020439P02T06,Y24H6020439,Y24H6020439P02,6,187.210618287,Private,2.74003,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020440P01T01,Y24H6020440,Y24H6020440P01,1,311.543475062,Active,0.42493,Walking,MELB - Middle,Greater Melbourne
Y24H6020440P01T02,Y24H6020440,Y24H6020440P01,2,311.543475062,Active,0.42493,Walking,MELB - Middle,Greater Melbourne
Y24H6020440P01T03,Y24H6020440,Y24H6020440P01,3,311.543475062,Private,10.91185,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020440P01T04,Y24H6020440,Y24H6020440P01,4,311.543475062,Private,8.551,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020440P01T05,Y24H6020440,Y24H6020440P01,5,311.543475062,Private,8.551,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020440P01T06,Y24H6020440,Y24H6020440P01,6,311.543475062,Private,5.15925,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020440P01T07,Y24H6020440,Y24H6020440P01,7,311.543475062,Private,4.71912,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020440P01T08,Y24H6020440,Y24H6020440P01,8,311.543475062,Private,13.96521,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020440P01T09,Y24H6020440,Y24H6020440P01,9,311.543475062,Active,0.1081,Walking,MELB - Middle,Greater Melbourne
Y24H6020440P01T10,Y24H6020440,Y24H6020440P01,10,311.543475062,Active,0.1081,Walking,MELB - Middle,Greater Melbourne
Y24H6020440P02T01,Y24H6020440,Y24H6020440P02,1,976.975544943,Active,0.42493,Walking,MELB - Middle,Greater Melbourne
Y24H6020440P02T02,Y24H6020440,Y24H6020440P02,2,976.975544943,Active,0.42493,Walking,MELB - Middle,Greater Melbourne
Y24H6020440P02T03,Y24H6020440,Y24H6020440P02,3,976.975544943,Private,10.91185,Vehicle Passenger,MELB - Middle,Greater Melbourne
Y24H6020440P02T04,Y24H6020440,Y24H6020440P02,4,976.975544943,Private,5.15925,Vehicle Passenger,MELB - Middle,Greater Melbourne
Y24H6020440P02T05,Y24H6020440,Y24H6020440P02,5,976.975544943,Private,4.71912,Vehicle Passenger,MELB - Middle,Greater Melbourne
Y24H6020440P02T06,Y24H6020440,Y24H6020440P02,6,976.975544943,Private,13.96521,Vehicle Passenger,MELB - Middle,Greater Melbourne
Y24H6020441P01T01,Y24H6020441,Y24H6020441P01,1,161.035282608,Private,12.87376,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020441P01T02,Y24H6020441,Y24H6020441P01,2,161.035282608,Private,7.71866,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020441P01T03,Y24H6020441,Y24H6020441P01,3,161.035282608,Private,5.23766,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020441P01T04,Y24H6020441,Y24H6020441P01,4,161.035282608,Private,2.87529,Vehicle Driver,MELB - Middle,Greater Melbourne
Y24H6020441P02T01,Y24H6020441,Y24H6020441P02,1,286.956276003,Active,2.87529,Bicycle,MELB - Middle,Greater Melbourne
Y24H6020441P02T02,Y24H6020441,Y24H6020441P02,2,286.956276003,Active,2.87529,Bicycle,MELB - Middle,Greater Melbourne
Y24H6020441P02T03,Y24H6020441,Y24H6020441P02,3,286.956276003,Active,0.68315,Walking,MELB - Middle,Greater Melbourne
Y24H6020441P02T04,Y24H6020441,Y24H6020441P02,4,286.956276003,Active,0.68315,Walking,MELB - Middle,Greater Melbourne
Y24H6020501P01T01,Y24H6020501,Y24H6020501P01,1,333.188194443,Active,1.09155,Walking,MELB - Outer,Greater Melbourne
Y24H6020501P01T02,Y24H6020501,Y24H6020501P01,2,333.188194443,Active,1.09155,Walking,MELB - Outer,Greater Melbourne
Y24H6020501P01T03,Y24H6020501,Y24H6020501P01,3,333.188194443,Private,1.28517,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H6020501P01T04,Y24H6020501,Y24H6020501P01,4,333.188194443,Private,0.5456,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H6020501P01T05,Y24H6020501,Y24H6020501P01,5,333.188194443,Private,1.15425,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H6020501P01T06,Y24H6020501,Y24H6020501P01,6,333.188194443,Private,1.30839,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H6020501P01T07,Y24H6020501,Y24H6020501P01,7,333.188194443,Private,2.55459,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H6020501P01T08,Y24H6020501,Y24H6020501P01,8,333.188194443,Private,1.28517,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H6020501P02T01,Y24H6020501,Y24H6020501P02,1,413.301319277,Active,0.38493,Walking,MELB - Outer,Greater Melbourne
Y24H6020501P02T02,Y24H6020501,Y24H6020501P02,2,413.301319277,Active,0.38493,Walking,MELB - Outer,Greater Melbourne
Y24H6020501P02T03,Y24H6020501,Y24H6020501P02,3,413.301319277,Active,0.49175,Walking,MELB - Outer,Greater Melbourne
Y24H6020501P02T04,Y24H6020501,Y24H6020501P02,4,413.301319277,Active,0.49175,Walking,MELB - Outer,Greater Melbourne
Y24H6020501P02T05,Y24H6020501,Y24H6020501P02,5,413.301319277,Private,0.49175,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H6020501P02T06,Y24H6020501,Y24H6020501P02,6,413.301319277,Private,1.06312,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H6020501P02T07,Y24H6020501,Y24H6020501P02,7,413.301319277,Private,1.55481,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H6020502P02T01,Y24H6020502,Y24H6020502P02,1,328.226125006,Private,1.16295,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H6020502P02T02,Y24H6020502,Y24H6020502P02,2,328.226125006,Private,0.08732,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H6020502P02T03,Y24H6020502,Y24H6020502P02,3,328.226125006,Private,0.58206,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H6020502P02T04,Y24H6020502,Y24H6020502P02,4,328.226125006,Private,1.70205,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H6020503P01T01,Y24H6020503,Y24H6020503P01,1,418.657143476,Private,30.10613,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H6020503P01T02,Y24H6020503,Y24H6020503P01,2,418.657143476,Private,3.31202,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H6020503P01T03,Y24H6020503,Y24H6020503P01,3,418.657143476,Private,27.42994,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H6020506P01T01,Y24H6020506,Y24H6020506P01,1,537.271297664,Active,0.34433,Walking,MELB - Outer,Greater Melbourne
Y24H6020506P01T02,Y24H6020506,Y24H6020506P01,2,537.271297664,Active,0.34433,Walking,MELB - Outer,Greater Melbourne
Y24H6020507P01T01,Y24H6020507,Y24H6020507P01,1,308.987523493,Active,1.14454,Walking,MELB - Outer,Greater Melbourne
Y24H6020507P01T02,Y24H6020507,Y24H6020507P01,2,308.987523493,Active,1.14454,Walking,MELB - Outer,Greater Melbourne
Y24H6020507P01T03,Y24H6020507,Y24H6020507P01,3,308.987523493,Active,0.41875,Walking,MELB - Outer,Greater Melbourne
Y24H6020507P01T04,Y24H6020507,Y24H6020507P01,4,308.987523493,Active,0.41875,Walking,MELB - Outer,Greater Melbourne
Y24H6020507P02T01,Y24H6020507,Y24H6020507P02,1,371.123107531,Active,1.14454,Walking,MELB - Outer,Greater Melbourne
Y24H6020507P02T02,Y24H6020507,Y24H6020507P02,2,371.123107531,Active,1.14454,Walking,MELB - Outer,Greater Melbourne
Y24H6020507P02T03,Y24H6020507,Y24H6020507P02,3,371.123107531,Private,1.38801,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H6020507P02T04,Y24H6020507,Y24H6020507P02,4,371.123107531,Private,1.38801,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H6020507P02T05,Y24H6020507,Y24H6020507P02,5,371.123107531,Active,0.41875,Walking,MELB - Outer,Greater Melbourne
Y24H6020507P02T06,Y24H6020507,Y24H6020507P02,6,371.123107531,Active,0.41875,Walking,MELB - Outer,Greater Melbourne
Y24H6020508P01T01,Y24H6020508,Y24H6020508P01,1,661.031986386,Private,86.59677,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H6020508P01T02,Y24H6020508,Y24H6020508P01,2,661.031986386,Private,86.59677,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H6020508P01T03,Y24H6020508,Y24H6020508P01,3,661.031986386,Private,3.98,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H6020508P01T04,Y24H6020508,Y24H6020508P01,4,661.031986386,Private,3.98,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H6020508P02T01,Y24H6020508,Y24H6020508P02,1,320.029043242,Private,1.02488,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H6020508P02T02,Y24H6020508,Y24H6020508P02,2,320.029043242,Private,3.60186,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H6020508P02T03,Y24H6020508,Y24H6020508P02,3,320.029043242,Private,2.48484,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H6020508P02T04,Y24H6020508,Y24H6020508P02,4,320.029043242,Private,2.97713,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H6020508P02T05,Y24H6020508,Y24H6020508P02,5,320.029043242,Private,2.97713,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H6020508P02T06,Y24H6020508,Y24H6020508P02,6,320.029043242,Private,2.48484,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H6020508P02T07,Y24H6020508,Y24H6020508P02,7,320.029043242,Private,3.60186,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H6020508P02T08,Y24H6020508,Y24H6020508P02,8,320.029043242,Private,1.0248,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H6020508P03T01,Y24H6020508,Y24H6020508P03,1,1065.108252129,Private,1.0248,Vehicle Passenger,MELB - Outer,Greater Melbourne
Y24H6020508P03T02,Y24H6020508,Y24H6020508P03,2,1065.108252129,Private,3.60186,Vehicle Passenger,MELB - Outer,Greater Melbourne
Y24H6020508P03T03,Y24H6020508,Y24H6020508P03,3,1065.108252129,Private,3.60186,Vehicle Passenger,MELB - Outer,Greater Melbourne
Y24H6020508P03T04,Y24H6020508,Y24H6020508P03,4,1065.108252129,Private,1.0248,Vehicle Passenger,MELB - Outer,Greater Melbourne
Y24H6020508P03T05,Y24H6020508,Y24H6020508P03,5,1065.108252129,Private,3.98,Vehicle Passenger,MELB - Outer,Greater Melbourne
Y24H6020508P03T06,Y24H6020508,Y24H6020508P03,6,1065.108252129,Private,3.98,Vehicle Passenger,MELB - Outer,Greater Melbourne
Y24H6020508P04T01,Y24H6020508,Y24H6020508P04,1,250.595634133,Private,1.0248,Vehicle Passenger,MELB - Outer,Greater Melbourne
Y24H6020508P04T02,Y24H6020508,Y24H6020508P04,2,250.595634133,Private,3.60186,Vehicle Passenger,MELB - Outer,Greater Melbourne
Y24H6020508P04T03,Y24H6020508,Y24H6020508P04,3,250.595634133,Private,2.48484,Vehicle Passenger,MELB - Outer,Greater Melbourne
Y24H6020508P04T04,Y24H6020508,Y24H6020508P04,4,250.595634133,Private,2.48484,Vehicle Passenger,MELB - Outer,Greater Melbourne
Y24H6020508P04T05,Y24H6020508,Y24H6020508P04,5,250.595634133,Private,3.60186,Vehicle Passenger,MELB - Outer,Greater Melbourne
Y24H6020508P04T06,Y24H6020508,Y24H6020508P04,6,250.595634133,Private,1.0248,Vehicle Passenger,MELB - Outer,Greater Melbourne
Y24H6020508P05T01,Y24H6020508,Y24H6020508P05,1,567.497233098,Private,1.02488,Vehicle Passenger,MELB - Outer,Greater Melbourne
Y24H6020508P05T02,Y24H6020508,Y24H6020508P05,2,567.497233098,Private,1.0248,Vehicle Passenger,MELB - Outer,Greater Melbourne
Y24H6020509P01T01,Y24H6020509,Y24H6020509P01,1,1608.473493286,Private,49.19808,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H6020509P01T02,Y24H6020509,Y24H6020509P01,2,1608.473493286,Private,19.32024,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H6020509P01T03,Y24H6020509,Y24H6020509P01,3,1608.473493286,Private,33.28015,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H6020509P01T04,Y24H6020509,Y24H6020509P01,4,1608.473493286,Private,3.3054,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H6020509P01T05,Y24H6020509,Y24H6020509P01,5,1608.473493286,Private,1.23774,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H6020509P01T06,Y24H6020509,Y24H6020509P01,6,1608.473493286,Private,0.46475,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H6020509P01T07,Y24H6020509,Y24H6020509P01,7,1608.473493286,Private,1.54742,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H6020509P01T08,Y24H6020509,Y24H6020509P01,8,1608.473493286,Private,1.18752,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H6020509P01T09,Y24H6020509,Y24H6020509P01,9,1608.473493286,Private,0.3987,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H6020509P01T10,Y24H6020509,Y24H6020509P01,10,1608.473493286,Private,1.13419,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H6020509P02T01,Y24H6020509,Y24H6020509P02,1,2063.256583469,Private,43.27279,Vehicle Driver,MELB - Outer,Greater Melbourne
